doc_id,doc_title,cid,citation_type,full_citation,context,sql_query,title,part,section,section_main,congress,law_number,volume,page
COOR_CH70SU_ARTIINGE_S70-5DE,"<div class=""chunk-title"">Sec. 70-5. - Definitions.</div>",bafkreiey76tyo5euhld4c6cqmhjqbzfq5m6thxwjvwlmmf44ehivtwrbhq,CFR,33 C.F.R. 328.3,"re inundated or
               saturated by an accumulation of surface or groundwater at a frequency and duration
               sufficient to support, and that under normal circumstances do support, a prevalence
               of vegetation typically adapted for life in saturated soil conditions. Wetlands generally
               include swamps, marshes, bogs and similar areas. Wetlands classified as waters of
               the state are restricted to waters of the United States as defined by 33 CFR 328.3
               and 40 CFR 230.3.
               </p>
            <p class=""historynote0"">
               (Ord. No. 10-10-05, Â§ 1, 10-5-10;
               <a class=""ordinance-link"" href="""" data-product-id=""12776"" data-ordinance-id=""816841"">
                  Ord. No. 17-01-10
                  </a>
               , Â§ 1, 1-17-17;
               <a class=""ordinance-link"" href="""" data-product-id=""12776"" data-ordinance-id=""1063690"">
                  Ord. No. 17-09-08
                  </a>
      ",SELECT * FROM cfr WHERE title = '33' AND part = '328',33,328,328.3,,,,,
COOR_CH70SU_ARTIINGE_S70-5DE,"<div class=""chunk-title"">Sec. 70-5. - Definitions.</div>",bafkreiey76tyo5euhld4c6cqmhjqbzfq5m6thxwjvwlmmf44ehivtwrbhq,CFR,40 C.F.R. 230.3,"aturated by an accumulation of surface or groundwater at a frequency and duration
               sufficient to support, and that under normal circumstances do support, a prevalence
               of vegetation typically adapted for life in saturated soil conditions. Wetlands generally
               include swamps, marshes, bogs and similar areas. Wetlands classified as waters of
               the state are restricted to waters of the United States as defined by 33 CFR 328.3
               and 40 CFR 230.3.
               </p>
            <p class=""historynote0"">
               (Ord. No. 10-10-05, Â§ 1, 10-5-10;
               <a class=""ordinance-link"" href="""" data-product-id=""12776"" data-ordinance-id=""816841"">
                  Ord. No. 17-01-10
                  </a>
               , Â§ 1, 1-17-17;
               <a class=""ordinance-link"" href="""" data-product-id=""12776"" data-ordinance-id=""1063690"">
                  Ord. No. 17-09-08
                  </a>
               , Â§ 1, 9-5-17;
       ",SELECT * FROM cfr WHERE title = '40' AND part = '230',40,230,230.3,,,,,
COOR_CH34FL_ARTIIFLDAPR_DIV3PRFLHARE_S34-66GEST,"<div class=""chunk-title"">Sec. 34-66. - General standards.</div>",bafkreigpstjx46jb7urjqrxzyii2agvuzwyme7e5s6gbvcazks75hspd7i,USC,33 U.S.C. 1334,"  		
               
               <p class=""incr1"">
                  (14)
                  </p>
               		
               <p class=""content2"">
                  All subdivision proposals and other development proposals shall have received all
                  necessary permits from those governmental agencies for which approval is required
                  by federal or state law, including Section 404 of the Federal Water Pollution Control
                  Act Amendments of 1972, 33 U.S.C. 1334.
                  </p>
               		
               
               <p class=""incr1"">
                  (15)
                  </p>
               		
               <p class=""content2"">
                  When a structure is partially located in a special flood hazard area, the entire structure
                  shall meet the requirements for new construction and substantial improvements.
                  </p>
               		
               
               <p class=""incr1"">
            ",SELECT * FROM usc WHERE title = '33' AND section = '1334',33,,1334,1334,,,,
COOR_CH38HIPR_ARTIVHIPR_DIV4OR_S38-141REPR,"<div class=""chunk-title"">Sec. 38-141. - Required procedures.</div>",bafkreifjmdt7obzzkqzckic4zfr4b3l2uorttznycjkl5y6epu34sxbhmm,Public Law,Public Law 89-655,"This requirement is waived if the
               department fails to submit its analysis and recommendations to the governing board
               within 30 days after written request for the analysis has been mailed to the department
               by the clerk of the city or county governing board. This requirement is also waived
               with respect to any building, structure, site, area or object of national, state and
               local historical significance that is currently listed (as certified by the secretary
               of cultural resources) on the National Register of Historic Places established by
               the National Historic Preservation Act of 1966, Public Law 89-655, 16 USCA Section
               470a, as amended.
               </p>
            		
            <p class=""incr1"">
               (3)
               </p>
            		
            <p class=""content2"">
               The resources commission and the governing board shall hold a public hearing on the
               proposed ordinance. Notice of the hearing shall be published at least once in a newspaper
               generally circulated within the city or county in which the property or proper",SELECT * FROM public_laws WHERE congress = '89' AND law_number = '655',,,,,89,655,,
COOR_CH62SOWAMA_ARTIIIHAWA_DIV1GE_S62-74DE,"<div class=""chunk-title"">Sec. 62-74. - Definitions.</div>",bafkreigngq4c7wejqlqjke5abvudfodqclegnqg5abiz5gxvodpsvzc2ky,CFR,40 C.F.R. 261,"in Street, Asheville, North Carolina.
               </p>
            <p class=""p0"">
               <span class=""ital"">County license or permit</span> means the county hazardous waste license or permit, which shall be written authorization
               granted pursuant to this article to generate, store, treat, or dispose of hazardous
               wastes in the county.
               </p>
            <p class=""p0"">
               <span class=""ital"">Hazardous waste</span> means as defined in 40 CFR 261. Determination that solid waste is a hazardous waste
               shall be made in accordance with the waste determination clause from the state hazardous
               waste rules.
               </p>
            <p class=""p0"">
               <span class=""ital"">Large quantity generator</span> means the same as the word ""generator"" as defined by the state and EPA, and which
               generates more than 1,000 kilograms (2200 pounds) of hazardous waste in any calendar
               mont",SELECT * FROM cfr WHERE title = '40' AND part = '261',40,261,261,,,,,
COOR_CH62SOWAMA_ARTIIIHAWA_DIV1GE_S62-74DE,"<div class=""chunk-title"">Sec. 62-74. - Definitions.</div>",bafkreigngq4c7wejqlqjke5abvudfodqclegnqg5abiz5gxvodpsvzc2ky,CFR,40 C.F.R. 261.33,"Determination that solid waste is a hazardous waste
               shall be made in accordance with the waste determination clause from the state hazardous
               waste rules.
               </p>
            <p class=""p0"">
               <span class=""ital"">Large quantity generator</span> means the same as the word ""generator"" as defined by the state and EPA, and which
               generates more than 1,000 kilograms (2200 pounds) of hazardous waste in any calendar
               month, or more than one kilogram (2.2 pounds) of acutely toxic waste as defined in
               40 CFR 261.33(e).
               </p>
            <p class=""p0"">
               <span class=""ital"">100 to 1,000 kilogram generator</span> means one who generates between 100 and 1,000 kilograms (220 to 2,200 pounds) of
               hazardous waste in any calendar month.
               </p>
            <p class=""p0"">
               <span class=""ital"">Registered status</span> means status of all generators or facilities that treat, store, or dispose of hazardous
               waste following submission to t",SELECT * FROM cfr WHERE title = '40' AND part = '261',40,261,261.33,,,,,
COOR_CH62SOWAMA_ARTIIIHAWA_DIV2GEFATRSTDI_S62-93PE,"<div class=""chunk-title"">Sec. 62-93. - Permits.</div>",bafkreif56iiueeb23vsg3wppxcjo4pwfz7nhucwudb223pmpo3t3b652vm,CFR,40 C.F.R. 122.17,"     <p class=""content1"">
               <span class=""ital"">Amendments.</span> Permits must be amended if it is necessary to amend a companion state or federal
               permit. Such request for amendment shall be made in writing and shall be concurrent
               with the request to the state and/or federal agency and shall include a copy of the
               requested amendment to the state or federal permit. Except for minor amendments as
               defined in the provisions of 40 CFR 122.17, the currently required fee shall accompany
               each request for amendment of a county permit.
               </p>
            		
            <p class=""incr0"">
               (c)
               </p>
            		
            <p class=""content1"">
               <span class=""ital"">Renewal.</span> An application for renewal of a county permit must be submitted to the office of
               emergency management at least 90 days prior to the expiration date of the county permit
       ",SELECT * FROM cfr WHERE title = '40' AND part = '122',40,122,122.17,,,,,
PTIICOOR_CH10BUBURE,"<div class=""chunk-title"">Chapter 10 - BUILDINGS AND BUILDING REGULATIONS<sup>[1]</sup></div>",bafkreihci2shplenvdhdgasof6wbplocn7vshov2c3mrodixufhnlppzx4,USC,40 U.S.C. 3312,"<div class=""chunk-content""><div class=""footnote-content""><div style=""font-weight:bold;"">Footnotes: </div> --- (<b>1</b>) ---
            
            <p class=""refmanualFN"">
               Federal law referenceâ€”Compliance of federal buildings with local building codes and zoning laws, consideration
               of local laws and cooperation with local officials required, 40 USC 3312.
               </p>
            
            <p class=""refstatelawFN""><b>State Law referenceâ€” </b>
               Building code council and building code, G.S. 143-136 et seq.; authority of county
               to levy taxes for building inspection, G.S. 153A-149(c)(26).
               </p>
            
         <br></div></div>",SELECT * FROM usc WHERE title = '40' AND section = '3312',40,,3312,3312,,,,
PTIICOOR_CH26EN_ARTIINGE_S26-10SPDE,"<div class=""chunk-title"">Sec. 26-10. - Specific definitions.</div>",bafkreigd4v2tnjvnt2rgjtsya7vdfoa4iolairrtzogeex4m6bbmahgiti,USC,22 U.S.C. 1292,"The term ""owner"" shall also include
               the owner of a food service establishment which is leasing the building, structure,
               or a portion thereof containing the food service establishment.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Plumbing code</span> means the current edition of the North Carolina Plumbing Code.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">POTW (publicly owned treatment works)</span> means the treatment works as defined by Section 212 of the Federal Water Pollution
               Control Act, also known as the Clean Water Act (22 USC 1292), which are owned by the
               county's wastewater host. This definition includes any devices or systems used in
               the collection, storage, treatment, recycling, and reclamation of municipal sewage
               or industrial wastes of a liquid or solid nature. It also includes sewers, pipes,
               and other conveyances only if they convey wastewater to the POTW treatment plant.
               For the purposes of this resolution, the term ""POTW"" shall also includ",SELECT * FROM usc WHERE title = '22' AND section = '1292',22,,1292,1292,,,,
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,"<div class=""chunk-title"">Sec. 26-308. - Definitions.</div>",bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,40 C.F.R. 261,"<div class=""chunk-content"">
            <p class=""p0"">
               The following words, terms and phrases, when used in this article, shall have the
               meanings ascribed to them in this section, except where the context clearly indicates
               a different meaning:
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Acute hazardous waste</span> means the same as defined in 40 CFR 261 or any other applicable state or federal
               regulation.
               
            </p>
            <p class=""p0"">
               <span class=""ital"">Best available technology</span> means waste management and treatment technology equal in performance to the best
               treatment technology available in the marketplace which serves to render the waste
               to its least harmful form and most reduced volume.
               
            </p>
            <p class=""p0"">",SELECT * FROM cfr WHERE title = '40' AND part = '261',40,261,261,,,,,
