gnis,place_name,source_general_code,print_page
2410811,City of Huntington Beach,https://ecode360.com/HU4937,https://ecode360.com/print/HU4937?guid=HU4937
2410875,City of Los Alamitos,https://ecode360.com/LO4963,https://ecode360.com/print/LO4963?guid=LO4963
2410213,City of Compton,https://ecode360.com/CO4057,https://ecode360.com/print/CO4057?guid=CO4057
2409984,City of Carlsbad,https://ecode360.com/CA4913,https://ecode360.com/print/CA4913?guid=CA4913
2410913,City of Malibu,https://ecode360.com/MA5043,https://ecode360.com/print/MA5043?guid=MA5043
2410328,City of Desert Hot Springs,https://ecode360.com/DE4923,https://ecode360.com/print/DE4923?guid=DE4923
2409945,City of Burlingame,https://ecode360.com/BU4910,https://ecode360.com/print/BU4910?guid=BU4910
2411602,City of Lake Forest,https://ecode360.com/LA4954,https://ecode360.com/print/LA4954?guid=LA4954
2410818,City of Lemon Grove,https://ecode360.com/LE4958,https://ecode360.com/print/LE4958?guid=LE4958
2411209,City of Napa,https://ecode360.com/NA4976,https://ecode360.com/print/NA4976?guid=NA4976
2015546,City of Goleta,https://ecode360.com/GO4931,https://ecode360.com/print/GO4931?guid=GO4931
2410239,City of Costa Mesa,https://ecode360.com/CO4918,https://ecode360.com/print/CO4918?guid=CO4918
2410455,City of Escondido,https://ecode360.com/ES4926,https://ecode360.com/print/ES4926?guid=ES4926
2410696,City of Hanford,https://ecode360.com/HA4933,https://ecode360.com/print/HA4933?guid=HA4933
2411584,City of La Verne,https://ecode360.com/LA6633,https://ecode360.com/print/LA6633?guid=LA6633
2410846,City of Live Oak,https://ecode360.com/LI4959,https://ecode360.com/print/LI4959?guid=LI4959
2411637,City of Lawndale,https://ecode360.com/LA4957,https://ecode360.com/print/LA4957?guid=LA4957
2419446,City of Pelican,https://ecode360.com/PE4984,https://ecode360.com/print/PE4984?guid=PE4984
2410507,City of Firebaugh,https://ecode360.com/FI4072,https://ecode360.com/print/FI4072?guid=FI4072
2410568,City of Garden Grove,https://ecode360.com/GA4928,https://ecode360.com/print/GA4928?guid=GA4928
2411146,City of Monterey Park,https://ecode360.com/MO4971,https://ecode360.com/print/MO4971?guid=MO4971
2410079,City of Huntington Park,https://ecode360.com/HU4938,https://ecode360.com/print/HU4938?guid=HU4938
2411357,City of Palm Springs,https://ecode360.com/PA4982,https://ecode360.com/print/PA4982?guid=PA4982
2409735,City of Artesia,https://ecode360.com/AR4900,https://ecode360.com/print/AR4900?guid=AR4900
2410296,City of Davis,https://ecode360.com/DA4922,https://ecode360.com/print/DA4922?guid=DA4922
2410102,City of Industry,https://ecode360.com/IN4941,https://ecode360.com/print/IN4941?guid=IN4941
2411159,City of Moreno Valley,https://ecode360.com/MO4973,https://ecode360.com/print/MO4973?guid=MO4973
2409931,City of Buellton,https://ecode360.com/BU4908,https://ecode360.com/print/BU4908?guid=BU4908
2410097,City of Imperial,https://ecode360.com/IM4939,https://ecode360.com/print/IM4939?guid=IM4939
2410860,City of Lompoc,https://ecode360.com/LO4961,https://ecode360.com/print/LO4961?guid=LO4961
2412916,Town of Los Altos Hills,https://ecode360.com/LO4964,https://ecode360.com/print/LO4964?guid=LO4964
2409412,City of Cathedral City,https://ecode360.com/CA4914,https://ecode360.com/print/CA4914?guid=CA4914
2410720,City of Hawthorne,https://ecode360.com/HA4935,https://ecode360.com/print/HA4935?guid=HA4935
2411356,City of Palm Desert,https://ecode360.com/PA4981,https://ecode360.com/print/PA4981?guid=PA4981
2410098,City of Imperial Beach,https://ecode360.com/IM4939,https://ecode360.com/print/IM4939?guid=IM4939
2410597,City of Glendale,https://ecode360.com/GL4929,https://ecode360.com/print/GL4929?guid=GL4929
2410406,City of El Cajon,https://ecode360.com/EL4925,https://ecode360.com/print/EL4925?guid=EL4925
